timestamp,open,high,low,close,volume
2021-04-26 19:30:00,141.5800,141.5800,141.5800,141.5800,127
2021-04-26 19:20:00,141.5800,141.5800,141.5800,141.5800,100
2021-04-26 18:30:00,141.5700,141.5700,141.5700,141.5700,451
2021-04-26 18:15:00,141.4900,141.4900,141.4900,141.4900,305
2021-04-26 18:00:00,141.4500,141.4500,141.4500,141.4500,100
2021-04-26 17:55:00,141.5000,141.5000,141.5000,141.5000,605
2021-04-26 17:20:00,141.4400,141.5700,141.4400,141.5700,226
2021-04-26 16:55:00,141.5000,141.5000,141.5000,141.5000,526
2021-04-26 16:10:00,141.6200,141.6200,141.0000,141.0000,10420
2021-04-26 16:05:00,141.5700,141.5700,141.5700,141.5700,336311
2021-04-26 16:00:00,141.7100,141.7100,141.5100,141.6300,260832
2021-04-26 15:55:00,141.7000,141.7800,141.6400,141.7100,111160
2021-04-26 15:50:00,141.8600,141.8800,141.7091,141.7200,72519
2021-04-26 15:45:00,141.7300,141.8950,141.7200,141.8550,68255
2021-04-26 15:40:00,141.6500,141.7800,141.6450,141.7300,50547
2021-04-26 15:35:00,141.5900,141.6700,141.4800,141.6600,63232
2021-04-26 15:30:00,141.8100,141.8200,141.5700,141.5900,61237
2021-04-26 15:25:00,141.9150,141.9500,141.8025,141.8182,37554
2021-04-26 15:20:00,141.9500,141.9900,141.8900,141.9200,21343
2021-04-26 15:15:00,141.9600,142.0150,141.9200,141.9491,24613
2021-04-26 15:10:00,141.9300,142.0300,141.8600,141.9648,33520
2021-04-26 15:05:00,141.9950,141.9950,141.8700,141.9400,29946
2021-04-26 15:00:00,141.9600,142.0200,141.9326,141.9900,25595
2021-04-26 14:55:00,141.9500,142.0300,141.9500,141.9647,20539
2021-04-26 14:50:00,141.9000,141.9400,141.8400,141.9400,22994
2021-04-26 14:45:00,141.9271,141.9600,141.8900,141.9000,14977
2021-04-26 14:40:00,141.9200,141.9250,141.8700,141.9188,18633
2021-04-26 14:35:00,142.0000,142.0111,141.9000,141.9300,21006
2021-04-26 14:30:00,141.9800,142.0100,141.9500,142.0000,14510
2021-04-26 14:25:00,141.9500,142.0200,141.9400,142.0000,23237
2021-04-26 14:20:00,141.8600,141.9800,141.8000,141.9400,26893
2021-04-26 14:15:00,142.0100,142.0100,141.8100,141.8400,67000
2021-04-26 14:10:00,142.0600,142.0800,142.0139,142.0171,27601
2021-04-26 14:05:00,142.2106,142.2106,142.0500,142.0686,57715
2021-04-26 14:00:00,142.1800,142.2050,142.1300,142.2000,17962
2021-04-26 13:55:00,142.1800,142.2400,142.1700,142.1719,9905
2021-04-26 13:50:00,142.2300,142.2400,142.1510,142.1800,20437
2021-04-26 13:45:00,142.1600,142.2500,142.1500,142.2335,18112
2021-04-26 13:40:00,142.1400,142.1900,142.1000,142.1600,19874
2021-04-26 13:35:00,142.2000,142.2000,142.0700,142.1400,42666
2021-04-26 13:30:00,142.3113,142.3200,142.1800,142.1800,29432
2021-04-26 13:25:00,142.2500,142.3399,142.2000,142.3200,49599
2021-04-26 13:20:00,142.3950,142.4000,142.2400,142.2500,44699
2021-04-26 13:15:00,142.4301,142.4900,142.3800,142.4000,25799
2021-04-26 13:10:00,142.4500,142.5700,142.4400,142.4500,15070
2021-04-26 13:05:00,142.4950,142.5300,142.4400,142.4800,21988
2021-04-26 13:00:00,142.5800,142.7400,142.4800,142.4900,67383
2021-04-26 12:55:00,142.4672,142.6900,142.4672,142.5900,70308
2021-04-26 12:50:00,142.7200,142.7200,142.4300,142.4600,156333
2021-04-26 12:45:00,142.7020,142.7600,142.6900,142.7250,21282
2021-04-26 12:40:00,142.7500,142.8100,142.6950,142.7100,15689
2021-04-26 12:35:00,142.6800,142.7600,142.6700,142.7500,17081
2021-04-26 12:30:00,142.7000,142.7627,142.6500,142.6900,28718
2021-04-26 12:25:00,142.7400,142.7700,142.7100,142.7100,18189
2021-04-26 12:20:00,142.8400,142.8400,142.7300,142.7500,17719
2021-04-26 12:15:00,142.7150,142.8400,142.7150,142.8400,22533
2021-04-26 12:10:00,142.7800,142.7924,142.7200,142.7300,14231
2021-04-26 12:05:00,142.8200,142.8350,142.6800,142.7801,18173
2021-04-26 12:00:00,142.7900,142.8700,142.7145,142.8500,19275
2021-04-26 11:55:00,142.8500,142.8900,142.7100,142.7950,31386
2021-04-26 11:50:00,142.7900,142.9050,142.7800,142.8500,22457
2021-04-26 11:45:00,142.7800,142.8400,142.7600,142.7700,26583
2021-04-26 11:40:00,142.6600,142.8600,142.6500,142.8400,57332
2021-04-26 11:35:00,142.6400,142.7000,142.6100,142.6650,58514
2021-04-26 11:30:00,142.7800,142.8000,142.6201,142.6400,39961
2021-04-26 11:25:00,142.8400,142.8700,142.7200,142.7800,26888
2021-04-26 11:20:00,142.9100,143.0100,142.7800,142.8500,45297
2021-04-26 11:15:00,143.0100,143.0400,142.9000,142.9300,24958
2021-04-26 11:10:00,142.9950,143.0600,142.9800,143.0300,31417
2021-04-26 11:05:00,143.0100,143.0500,142.8621,143.0000,33668
2021-04-26 11:00:00,142.9100,143.1700,142.9100,143.0100,147916
2021-04-26 10:55:00,142.9700,143.0001,142.8250,142.9050,35747
2021-04-26 10:50:00,143.1327,143.1800,142.8300,142.9800,59920
2021-04-26 10:45:00,143.5401,143.5401,143.1600,143.1700,62042
2021-04-26 10:40:00,143.3914,143.5800,143.2200,143.5467,37609
2021-04-26 10:35:00,143.2699,143.5800,143.2400,143.3900,60450
2021-04-26 10:30:00,143.4000,143.4200,143.1600,143.2500,33616
2021-04-26 10:25:00,143.1450,143.4200,143.0400,143.4200,27632
2021-04-26 10:20:00,143.2200,143.3100,143.1200,143.1450,37413
2021-04-26 10:15:00,143.2700,143.3800,143.1300,143.1900,21020
2021-04-26 10:10:00,143.0700,143.3900,143.0400,143.3000,135512
2021-04-26 10:05:00,143.3800,143.4100,142.9800,143.0700,57737
2021-04-26 10:00:00,143.4900,143.6300,143.1600,143.3800,74610
2021-04-26 09:55:00,143.3100,143.5500,143.3100,143.4900,81562
2021-04-26 09:50:00,143.0200,143.4600,143.0000,143.3100,106803
2021-04-26 09:45:00,143.0350,143.0700,142.9200,143.0477,49396
2021-04-26 09:40:00,142.8400,143.1800,142.6800,143.0497,101996
2021-04-26 09:35:00,142.4200,142.8800,142.2850,142.7981,311610
2021-04-26 09:25:00,142.5100,142.5400,142.5000,142.5400,444
2021-04-26 09:15:00,142.5400,142.5400,142.5400,142.5400,237
2021-04-26 09:10:00,142.5500,142.5500,142.5500,142.5500,116
2021-04-26 08:40:00,142.4500,142.4500,142.3900,142.4000,1063
2021-04-26 08:35:00,142.6000,142.6000,142.6000,142.6000,442
2021-04-26 08:20:00,142.6100,142.7000,142.6019,142.7000,489
2021-04-26 08:05:00,142.9088,142.9088,142.6200,142.6200,574
2021-04-26 08:00:00,142.4700,142.4700,142.4700,142.4700,224
2021-04-23 18:55:00,142.1100,142.1100,142.1100,142.1100,500
2021-04-23 17:30:00,142.4300,142.4300,142.4300,142.4300,791
2021-04-23 16:55:00,142.0101,142.0101,142.0100,142.0100,315
2021-04-23 16:35:00,142.4000,142.4000,142.4000,142.4000,101
